```bash
python main.py --dataset cifar10 --num_classes 10 --model LeNet --epochs 10 --batch_size 64 --lr 0.005 --optimizer sgd --device cuda
```

Epoch [1] | Loss: 1.9770 | Accuracy: 27.30% (main.py:63)

Epoch [2] | Loss: 1.6935 | Accuracy: 38.73% (main.py:63)

Epoch [3] | Loss: 1.6033 | Accuracy: 42.17% (main.py:63)

Epoch [4] | Loss: 1.5405 | Accuracy: 44.57% (main.py:63)

Epoch [5] | Loss: 1.4936 | Accuracy: 46.46% (main.py:63)

Epoch [6] | Loss: 1.4641 | Accuracy: 47.59% (main.py:63)

Epoch [7] | Loss: 1.4432 | Accuracy: 48.54% (main.py:63)

Epoch [8] | Loss: 1.4109 | Accuracy: 49.76% (main.py:63)

Epoch [9] | Loss: 1.3889 | Accuracy: 50.73% (main.py:63)

Epoch [10] | Loss: 1.3780 | Accuracy: 51.03% (main.py:63)

Test Loss: 1.1902 | Accuracy: 57.30% | Precision: 0.5740 | Recall: 0.5730 | F1-score: 0.5656 (main.py:95)

