
python main.py --dataset cifar10 --num_classes 10 --model LeNet --epoch
s 50 --batch_size 64 --lr 0.005 --optimizer sgd --device cuda

Epoch [1] | Loss: 2.0081 | Accuracy: 26.27% (main.py:63)

Epoch [2] | Loss: 1.6934 | Accuracy: 39.08% (main.py:63)

Epoch [3] | Loss: 1.5902 | Accuracy: 42.98% (main.py:63)

Epoch [4] | Loss: 1.5317 | Accuracy: 45.25% (main.py:63)

Epoch [5] | Loss: 1.4945 | Accuracy: 46.47% (main.py:63)

Epoch [6] | Loss: 1.4551 | Accuracy: 48.14% (main.py:63)

Epoch [7] | Loss: 1.4370 | Accuracy: 48.78% (main.py:63)

Epoch [8] | Loss: 1.4125 | Accuracy: 49.91% (main.py:63)

Epoch [9] | Loss: 1.3917 | Accuracy: 50.56% (main.py:63)

Epoch [10] | Loss: 1.3744 | Accuracy: 51.23% (main.py:63)

Epoch [11] | Loss: 1.3601 | Accuracy: 51.77% (main.py:63)

Epoch [12] | Loss: 1.3375 | Accuracy: 52.71% (main.py:63)

Epoch [13] | Loss: 1.3243 | Accuracy: 52.99% (main.py:63)

Epoch [14] | Loss: 1.3117 | Accuracy: 53.31% (main.py:63)

Epoch [15] | Loss: 1.3055 | Accuracy: 53.97% (main.py:63)

Epoch [16] | Loss: 1.2938 | Accuracy: 54.28% (main.py:63)

Epoch [17] | Loss: 1.2764 | Accuracy: 54.92% (main.py:63)

Epoch [18] | Loss: 1.2789 | Accuracy: 54.71% (main.py:63)

Epoch [19] | Loss: 1.2624 | Accuracy: 55.23% (main.py:63)

Epoch [20] | Loss: 1.2622 | Accuracy: 55.37% (main.py:63)

Epoch [21] | Loss: 1.2505 | Accuracy: 56.07% (main.py:63)

Epoch [22] | Loss: 1.2430 | Accuracy: 56.23% (main.py:63)

Epoch [23] | Loss: 1.2328 | Accuracy: 56.51% (main.py:63)

Epoch [24] | Loss: 1.2301 | Accuracy: 56.65% (main.py:63)

Epoch [25] | Loss: 1.2265 | Accuracy: 56.74% (main.py:63)

Epoch [26] | Loss: 1.2240 | Accuracy: 56.75% (main.py:63)

Epoch [27] | Loss: 1.2151 | Accuracy: 57.22% (main.py:63)

Epoch [28] | Loss: 1.2158 | Accuracy: 57.08% (main.py:63)

Epoch [29] | Loss: 1.2121 | Accuracy: 57.45% (main.py:63)

Epoch [30] | Loss: 1.2008 | Accuracy: 58.09% (main.py:63)

Epoch [31] | Loss: 1.1971 | Accuracy: 57.93% (main.py:63)

Epoch [32] | Loss: 1.1956 | Accuracy: 58.07% (main.py:63)

Epoch [33] | Loss: 1.1910 | Accuracy: 58.13% (main.py:63)

Epoch [34] | Loss: 1.1871 | Accuracy: 58.46% (main.py:63)

Epoch [35] | Loss: 1.1854 | Accuracy: 58.14% (main.py:63)

Epoch [36] | Loss: 1.1810 | Accuracy: 58.58% (main.py:63)

Epoch [37] | Loss: 1.1856 | Accuracy: 58.53% (main.py:63)

Epoch [38] | Loss: 1.1802 | Accuracy: 58.70% (main.py:63)

